,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
0,0,@BBC,"✨ It's almost time for the first episode of #HisDarkMaterials, an adaptation of Philip Pullman’s best-selling fanta… https://t.co/IkPbCSSqLF",0.3182,0.119,0.0,0.881
1,1,@BBC,"Tonight #SevenWorldsOnePlanet explores Asia - where rarely seen animals roam the hottest deserts, tallest jungles a… https://t.co/X1hOzD4UyF",0.0,0.0,0.0,1.0
2,2,@BBC,"RT @BBCSounds: ""Money just shouldn't be in the equation, especially when it comes to things like HIV...""

@JVN gives a passionate explanati…",0.7096,0.237,0.0,0.763
3,3,@BBC,"RT @BBCRadio2: ""One of the biggest British bands... EVER!""

That's how our @Fearnecotton introduced UK chart-toppers @Stereophonics on stag…",0.0,0.0,0.0,1.0
4,4,@BBC,"Do we think differently in different languages?  💬🗣
https://t.co/ggN07nRcGx",0.0,0.0,0.0,1.0
5,5,@BBC,"Would love to see Kerry on #TheApprentice. 💼💰
#ThisCountry | Streaming now on @BBCThree.
https://t.co/UiyBvnmet7",0.6369,0.244,0.0,0.756
6,6,@BBC,"How pianos became part of the furniture at UK railway stations.  🎶🚂
👉 https://t.co/I8Ys2R0ifP https://t.co/kzvNKdKkZP",0.0,0.0,0.0,1.0
7,7,@BBC,"SO many people came together to be part of Suranne Jones' #GotItCovered @CleanBandit cover for @BBCCiN!  🙌
Streamin… https://t.co/JWzxnFn3Ln",0.0,0.0,0.0,1.0
8,8,@BBC,"Coming up on @bbc5live today: #PalacevLeicester and #EvertonvSpurs. ⚽️
#5LivePremSunday #PALLEI #EVETOT
👉… https://t.co/Me8dCHTGzD",0.0,0.0,0.0,1.0
9,9,@BBC,"Is the screen you're looking at right now making you age faster?  📱
https://t.co/wY8QwNNtiA",0.0,0.0,0.0,1.0
10,10,@BBC,That moment when @BBCDoctorWho's Jodie Whittaker was surprised by her @Coldplay heroes - Jonny Buckland and Will Ch… https://t.co/9auoq0am8w,0.6369,0.245,0.0,0.755
11,11,@BBC,"""I'm having more fun making music!"" 💕 

@Harry_Styles tells @GregJames about #WatermelonSugar, his album and when w… https://t.co/X3vmAaBwa1",0.5974,0.178,0.0,0.822
12,12,@BBC,"""Girl, why are you using so much shampoo!?"" 😂

Is this the most stressed out we've ever seen @JVN? 😬
https://t.co/piMSq0bpef",-0.4301,0.114,0.229,0.658
13,13,@BBC,"Redwoods could be the solution to the climate crisis, but they’re under threat. 🌲💔 
#TheAmericas with @simon_reeve… https://t.co/Kz3nuUs3sT",-0.7579,0.069,0.3,0.63
14,14,@BBC,"Some weird and wonderful facts about teeth! 😁
https://t.co/SnUVzMiCO8",0.7424,0.374,0.091,0.535
15,15,@BBC,"Believe it or not, there was a time when motorway services were the height of cool… 🚙
https://t.co/gRtvdR8gbR",0.0,0.0,0.0,1.0
16,16,@BBC,"Innes was born 4 months premature and is fighting for his life.
#TinyLives is now streaming on @BBCiPlayer.
https://t.co/rX4fvQrbtZ",-0.3612,0.0,0.128,0.872
17,17,@BBC,"It's #RugbyWorldCupFinal day!   🙌 🏉🏆
Live build up of #ENGvRSA has kicked off on @bbc5live, with match commentary f… https://t.co/kD1QUN84GQ",0.0,0.0,0.0,1.0
18,18,@BBC,"It's another incredible sofa line up for @grahnort as he's joined by @IanMcKellen, @JulieAndrews, Jennifer Aniston,… https://t.co/GZRFvDoOf5",0.0,0.0,0.0,1.0
19,19,@BBC,"Tributes have been paid to Pumpkin, the most popular raccoon on Instagram, after she died at the age of four.
👉… https://t.co/4zEOfreZbx",-0.1298,0.116,0.135,0.749
20,20,@BBC,"Oops.  🙊 
#Fleabag | Streaming now on @BBCThree.
https://t.co/MEMn0bOpTL",0.0,0.0,0.0,1.0
21,21,@BBC,RT @HackerTDog: Get the #FridayFeeling by watching my top notch film with YouTuber @KimEnsonTV. I learn a foreign language. Watch the whole…,0.2023,0.087,0.0,0.913
22,22,@BBC,A waiter lost his job after asking for a selfie with Dame Emma Thompson. What's the etiquette for photos with celeb… https://t.co/WnvX5LnWKo,-0.3182,0.0,0.108,0.892
23,23,@BBC,"Tilly lost both hands after contracting meningitis. Here’s how new bionic hands are giving her immense freedom. ❤️
https://t.co/sBzKIgl2XI",0.6486,0.255,0.089,0.656
